listing_id,description,Room_type
2595,Skylit Midtown Castle,entire home/apt
3831,Cozy Entire Floor of Brownstone,entire home/apt
5099,Large Cozy 1 BR Apartment In Midtown East,entire home/apt
5178,Large Furnished Room Near B'way,private Room
5238,Cute & Cozy Lower East Side 1 bdrm,entire home/apt
5295,Beautiful 1br on Upper West Side,entire home/apt
5441,Central Manhattan/near Broadway,private Room
5803,"Lovely Room 1, Garden, Best Area, Legal rental",private Room
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,private Room
6848,Only 2 stops to Manhattan studio,entire home/apt
7097,Perfect for Your Parents + Garden,entire home/apt
7322,Chelsea Perfect,private Room
7726,Hip Historic Brownstone Apartment with Backyard,entire home/apt
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,private Room
8025,CBG Helps Haiti Room#2.5,private Room
8110,CBG Helps Haiti Rm #2,private Room
8490,"MAISON DES SIRENES1,bohemian apartment",entire home/apt
8505,Sunny Bedroom Across Prospect Park,private Room
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",private Room
9657,Modern 1 BR / NYC / EAST VILLAGE,entire home/apt
9668,front room/double bed,private Room
9704,Spacious 1 bedroom in luxe building,private Room
9782,Loft in Williamsburg Area w/ Roof,private Room
9783,back room/bunk beds,private Room
10452,Large B&B Style rooms,private Room
10962,"Lovely room 2 & garden; Best area, Legal rental",private Room
11708,Cute apt in artist's home,entire home/apt
12048,LowerEastSide apt share shortterm 1,shared Room
12192,ENJOY Downtown NYC!,private Room
12299,Beautiful Sunny Park Slope Brooklyn,entire home/apt
12318,West Side Retreat,private Room
12343,BEST BET IN HARLEM,entire home/apt
12627,Entire apartment in central Brooklyn neighborhood.,entire home/apt
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",private Room
12940,Charming Brownstone 3 - Near PRATT,entire home/apt
13394,Fort Greene brownstone,private Room
13808,Blue Room for 2 in Brownstone for $1350 monthly,private Room
14287,Cozy 1BD on Central Park West in New York City,entire home/apt
14290,* ORIGINAL BROOKLYN LOFT *,entire home/apt
14314,Greenpoint Place...Has It All!,entire home/APT
14322,Beautiful Apartment in Manhattan!!!,entire home/apt
14377,Williamsburg 1 bedroom Apartment,entire home/apt
14991,"Great Location, Manhattan Bedroom!",private Room
15220,Best Location in NYC! TIMES SQUARE!,private Room
15338,Room in Greenpoint Loft w/ Roof,private Room
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,entire home/apt
15385,"Very, very cozy place",private Room
15711,2 bedroom - Upper East Side-great for kids,entire home/APT
16326,Comfortable 4-bedroom apt in family house.,entire home/apt
16421,Your Heaven in Hells Kitchen,private Room
16580,"Sunny, Modern room in East Village!",private Room
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,entire home/apt
16821,Large Room in Amazing East Village Apt,private Room
16974,SpaHa Loft: Enormous and Bright,entire home/apt
17092,Cool Room in Hell's Kitchen,private Room
17693,"HARLEM, NEW YORK WELCOMES YOU!!",private Room
17747,BLUE TRIM GUEST HOUSE,private Room
18127,Charming East Village One Bedroom Flat,entire home/apt
18152,Manhattan Room,private Room
18198,Little King of Queens,private Room
18590,Fort Greene Retreat on the Park,private Room
18728,Beautiful Meatpacking District Loft,private Room
18764,Cozy 2 BR in Williamsburg,private Room
19159,Spacious luminous apt Upper West NYC,entire home/apt
19169,Entire 2 Bedroom - Large & Sunny,entire home/apt
19282,"Sunny, Spacious Top Floor Haven",entire home/apt
19319,Private room Great Deal at Lower East Side,private Room
20299,Oh glorious spring!,private Room
20611,Cozy Bedroom in Williamsburg 3 BR,private Room
20724,Sunny room+Pvte office in huge loft,private Room
20734,Spacious Prospect Heights Apartment,entire home/apt
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",private Room
20853,2-bed brownstone duplex + garden,entire home/apt
21293,Sunny Apartment in Artist Home,entire home/APT
21456,Light-filled classic Central Park,entire home/APT
21794,COZY QUIET room 4 DOOGLERS!,private Room
22918,loft bed - near transportation-15min to times sq,private Room
23135,House On Henry (3rd FLR Suite),entire home/apt
23686,2000 SF 3br 2bath West Village private  townhouse,entire home/apt
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",private Room
25235,Large 2 Bedroom Great for Groups!,entire home/apt
25696,"1,800 sq foot in luxury building",private Room
26362,"Times Square, Safe, Clean and Cozy!",private Room
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",private Room
26969,2 story family home in Williamsburg,entire home/apt
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,entire home/apt
27385,Great Large 1 BR apt  in East Village!,entire home/apt
27531,Eveland Private Bed & Living Room w/ Own Entrance,private Room
27644,Sugar Hill Rest Stop,entire home/apt
27759,apartment next to Central park,entire home/apt
29013,B & B Room 1,private Room
29455,ACCOMMODATIONS GALORE #1,entire home/apt
29628,Sunny Room in New Condo,private Room
29683,Stylish & Sleek Apartment Near SoHo!,entire home/apt
30031,NYC artists’ loft with roof deck,private Room
30927,Unique & Charming small 1br Apt. LES,entire home/apt
31130,Most Central Location!,private Room
31555,Luminous Beautiful West Village Studio,entire home/apt
31902,Sanctuary in East Flatbush,private Room
31994,Room with En Suite Bathroom & Deck,private Room
32023,FLAT MACDONOUGH,entire home/apt
32037,Huge Private  Floor at The Waverly,private Room
32965,FLAT MACDONOUGH GARDEN,entire home/APT
32969,Light filled Williamsburg Apartment,entire home/apt
33009,Retreat in Williamsburg,entire home/apt
33014,NYC Zen,entire home/apt
